Market estimates for lithium-ion battery use in automobiles 2012-2020,
Projected market for lithium-ion batteries used in automobiles from 2012 to 2020 (in million U.S. dollars),
,Market size in million U.S. dollars
2012,"2,010"
2013,"2,828"
2014,"3,486"
2015,"4,422"
2016,"5,483"
2017,"6,585"
2018,"7,745"
2019,"8,903"
2020,"10,156"
