Country,Tons,Percentage
Australia,18700,0.435897435897436
Chile,14100,0.328671328671329
Argentina,5500,0.128205128205128
China,3000,0.0699300699300699
Zimbabwe,1000,0.0233100233100233
Portugal,400,0.00932400932400932
Brazil,200,0.00466200466200466
